Pelaaja,Joukkue,Sarja,Pelipaikka,Ikä,Kansallisuus,Vuosipalkka,Kausi
"Santeri Manninen","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,25,Ruotsi,"134 508",2026
"Kasper Sivonen","FC Esimerkki",Esimerkkiliiga (FIN),Maalivahti,23,Suomi,"110 050",2026
"Verneri Haapala","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,36,Suomi,"91 359",2026
"Onni Haapala","FC Esimerkki",Esimerkkiliiga (FIN),Maalivahti,23,Islanti,"107 622",2026
"Aleksi Lehtinen","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,28,Ruotsi,"329 869",2026
"Mikko Sivonen","FC Esimerkki",Esimerkkiliiga (FIN),Maalivahti,18,Brasilia,"123 958",2026
"Aarne Koskinen","FC Esimerkki",Esimerkkiliiga (FIN),Maalivahti,18,Nigeria,"117 034",2026
"Rasmus Hakala","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,21,Nigeria,"124 809",2026
"Kasper Ruusunen","FC Esimerkki",Esimerkkiliiga (FIN),Maalivahti,22,Ruotsi,"64 579",2026
"Aarne Ahonen","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,34,Suomi,"139 494",2026
"Santeri Ojanen","FC Esimerkki",Esimerkkiliiga (FIN),Puolustaja,36,Nigeria,"109 744",2026
"Eetu Nieminen","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,24,Viro,"180 965",2026
"Leevi Ojanen","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,28,Suomi,"168 434",2026
"Santeri Nieminen","FC Esimerkki",Esimerkkiliiga (FIN),Maalivahti,19,Suomi,"277 767",2026
"Eetu Ojanen","FC Esimerkki",Esimerkkiliiga (FIN),Hyökkääjä,25,Suomi,"213 656",2026
"Aleksi Salo","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,27,Ruotsi,"146 316",2026
"Rasmus Manninen","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,30,Brasilia,"143 757",2026
"Jere Kinnunen","FC Esimerkki",Esimerkkiliiga (FIN),Keskikenttä,28,Viro,"184 995",2026
"Aleksi Kinnunen","FC Esimerkki",Esimerkkiliiga (FIN),Hyökkääjä,33,Suomi,"160 552",2026
"Eetu Salo","FC Esimerkki",Esimerkkiliiga (FIN),Hyökkääjä,20,Nigeria,"238 976",2026
"Joona Nieminen","FC Esimerkki",Esimerkkiliiga (FIN),Hyökkääjä,19,Suomi,"172 860",2026
"Eetu Virtanen","FC Esimerkki",Esimerkkiliiga (FIN),Maalivahti,28,Suomi,"168 776",2026
"Leevi Manninen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Maalivahti,24,Brasilia,"68 087",2026
"Leevi Haapala","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Maalivahti,18,Suomi,"183 208",2026
"Leevi Sivonen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Hyökkääjä,29,Ruotsi,"157 718",2026
"Jere Manninen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Hyökkääjä,19,Viro,"228 026",2026
"Santeri Virtanen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Keskikenttä,36,Islanti,"300 457",2026
"Väinö Manninen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Keskikenttä,25,Ruotsi,"141 777",2026
"Väinö Peltola","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Keskikenttä,23,Islanti,"162 182",2026
"Jere Ruusunen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Keskikenttä,35,Suomi,"116 245",2026
"Onni Rantanen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Keskikenttä,29,Nigeria,"155 039",2026
"Aarne Ruusunen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Maalivahti,35,Nigeria,"119 935",2026
"Topias Ahonen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Maalivahti,28,Islanti,"212 015",2026
"Topias Nieminen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Hyökkääjä,33,Ruotsi,"125 339",2026
"Aarne Ojanen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Puolustaja,31,Nigeria,"138 220",2026
"Aleksi Virtanen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Maalivahti,25,Nigeria,"165 435",2026
"Eetu Rantanen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Puolustaja,32,Viro,"342 420",2026
"Väinö Lehtinen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Keskikenttä,31,Islanti,"50 449",2026
"Väinö Koskinen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Keskikenttä,19,Suomi,"167 720",2026
"Aarne Manninen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Puolustaja,33,Brasilia,"92 034",2026
"Verneri Rantanen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Puolustaja,26,Viro,"130 150",2026
"Leevi Hakala","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Puolustaja,32,Ruotsi,"88 900",2026
"Onni Ruusunen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Keskikenttä,36,Islanti,"174 521",2026
"Verneri Virtanen","Kuvitteellinen Pallo",Esimerkkiliiga (FIN),Keskikenttä,33,Nigeria,"158 118",2026
"Ilari Salo","HJK Testi",Esimerkkiliiga (FIN),Keskikenttä,33,Brasilia,"186 945",2026
"Aleksi Ahonen","HJK Testi",Esimerkkiliiga (FIN),Puolustaja,25,Suomi,"197 211",2026
"Onni Peltola","HJK Testi",Esimerkkiliiga (FIN),Keskikenttä,34,Islanti,"120 915",2026
"Santeri Ruusunen","HJK Testi",Esimerkkiliiga (FIN),Hyökkääjä,35,Nigeria,"119 056",2026
"Santeri Rantanen","HJK Testi",Esimerkkiliiga (FIN),Keskikenttä,18,Viro,"132 127",2026
"Mikko Rantanen","HJK Testi",Esimerkkiliiga (FIN),Maalivahti,34,Viro,"76 330",2026
"Onni Ahonen","HJK Testi",Esimerkkiliiga (FIN),Puolustaja,28,Suomi,"145 066",2026
"Väinö Salo","HJK Testi",Esimerkkiliiga (FIN),Maalivahti,18,Nigeria,"55 332",2026
"Topias Sivonen","HJK Testi",Esimerkkiliiga (FIN),Puolustaja,35,Viro,"137 048",2026
"Verneri Ojanen","HJK Testi",Esimerkkiliiga (FIN),Puolustaja,21,Nigeria,"162 769",2026
