Spelare;Lag;Liga;Position;Ålder;Månadslön;Valuta;Säsong
Anton Dahlin;Exempel IF;Exempelligan (SWE);Försvarare;22;127 720,23;SEK;2026
Hampus Wikström;Exempel IF;Exempelligan (SWE);Anfallare;35;69 859,71;SEK;2026
Anton Hjalmarsson;Exempel IF;Exempelligan (SWE);Anfallare;29;109 243,52;SEK;2026
Elias Bergqvist;Exempel IF;Exempelligan (SWE);Mittfältare;35;95 712,07;SEK;2026
Folke Lindgren;Exempel IF;Exempelligan (SWE);Målvakt;27;128 371,14;SEK;2026
Anton Wikström;Exempel IF;Exempelligan (SWE);Försvarare;19;206 720,61;SEK;2026
Anton Sjöberg;Exempel IF;Exempelligan (SWE);Målvakt;18;64 093,93;SEK;2026
Anton Palmgren;Exempel IF;Exempelligan (SWE);Försvarare;31;113 142,42;SEK;2026
Måns Ryding;Exempel IF;Exempelligan (SWE);Målvakt;36;198 041,40;SEK;2026
Folke Hjalmarsson;Exempel IF;Exempelligan (SWE);Mittfältare;28;115 512,12;SEK;2026
Anton Ryding;Exempel IF;Exempelligan (SWE);Mittfältare;34;123 225,51;SEK;2026
Gustav Ekholm;Exempel IF;Exempelligan (SWE);Målvakt;27;128 720,72;SEK;2026
Gustav Sandell;Exempel IF;Exempelligan (SWE);Försvarare;18;127 914,52;SEK;2026
Måns Sjöberg;Exempel IF;Exempelligan (SWE);Målvakt;34;251 921,42;SEK;2026
Hampus Ekholm;Exempel IF;Exempelligan (SWE);Målvakt;33;134 079,76;SEK;2026
Måns Åkerlund;Exempel IF;Exempelligan (SWE);Försvarare;25;243 442,41;SEK;2026
Love Palmgren;Exempel IF;Exempelligan (SWE);Målvakt;25;217 104,48;SEK;2026
Anton Ekholm;Exempel IF;Exempelligan (SWE);Målvakt;23;80 248,68;SEK;2026
Alvar Åkerlund;Exempel IF;Exempelligan (SWE);Målvakt;18;133 401,63;SEK;2026
Elias Ryding;Exempel IF;Exempelligan (SWE);Målvakt;25;87 609,85;SEK;2026
Alvar Sandell;Fiktiva BK;Exempelligan (SWE);Försvarare;18;90 433,70;SEK;2026
Gustav Bergqvist;Fiktiva BK;Exempelligan (SWE);Försvarare;36;159 844,99;SEK;2026
Nils Ekholm;Fiktiva BK;Exempelligan (SWE);Målvakt;33;262 658,52;SEK;2026
Viggo Sjöberg;Fiktiva BK;Exempelligan (SWE);Målvakt;20;129 857,38;SEK;2026
Gustav Lindgren;Fiktiva BK;Exempelligan (SWE);Mittfältare;19;75 193,07;SEK;2026
Melker Bergqvist;Fiktiva BK;Exempelligan (SWE);Mittfältare;30;39 256,40;SEK;2026
Elias Norling;Fiktiva BK;Exempelligan (SWE);Målvakt;31;58 550,29;SEK;2026
Alvar Lindgren;Fiktiva BK;Exempelligan (SWE);Försvarare;18;117 594,98;SEK;2026
Nils Bergqvist;Fiktiva BK;Exempelligan (SWE);Anfallare;36;92 560,32;SEK;2026
Alvar Bergqvist;Fiktiva BK;Exempelligan (SWE);Anfallare;31;196 880,81;SEK;2026
Måns Ekholm;Fiktiva BK;Exempelligan (SWE);Försvarare;18;49 611,74;SEK;2026
Sixten Åkerlund;Fiktiva BK;Exempelligan (SWE);Målvakt;20;92 089,85;SEK;2026
Anton Sandell;Fiktiva BK;Exempelligan (SWE);Målvakt;30;178 837,74;SEK;2026
Viggo Dahlin;Fiktiva BK;Exempelligan (SWE);Mittfältare;32;53 669,01;SEK;2026
Nils Norling;Fiktiva BK;Exempelligan (SWE);Försvarare;31;98 260,04;SEK;2026
Anton Lindgren;Fiktiva BK;Exempelligan (SWE);Anfallare;31;194 452,61;SEK;2026
Måns Sandell;Fiktiva BK;Exempelligan (SWE);Anfallare;32;100 139,48;SEK;2026
Gustav Dahlin;Fiktiva BK;Exempelligan (SWE);Anfallare;19;147 428,65;SEK;2026
Alvar Ekholm;Fiktiva BK;Exempelligan (SWE);Mittfältare;22;81 880,00;SEK;2026
Hampus Bergqvist;Fiktiva BK;Exempelligan (SWE);Målvakt;21;86 434,55;SEK;2026
Måns Bergqvist;Norrby Testklubb;Exempelligan (SWE);Försvarare;32;59 455,31;SEK;2026
Måns Palmgren;Norrby Testklubb;Exempelligan (SWE);Målvakt;34;79 665,04;SEK;2026
Måns Norling;Norrby Testklubb;Exempelligan (SWE);Försvarare;24;120 430,74;SEK;2026
Viggo Wikström;Norrby Testklubb;Exempelligan (SWE);Målvakt;27;151 317,59;SEK;2026
Måns Hjalmarsson;Norrby Testklubb;Exempelligan (SWE);Mittfältare;31;117 490,25;SEK;2026
Viggo Bergqvist;Norrby Testklubb;Exempelligan (SWE);Försvarare;29;139 536,07;SEK;2026
Alvar Ryding;Norrby Testklubb;Exempelligan (SWE);Målvakt;19;58 142,91;SEK;2026
Love Hjalmarsson;Norrby Testklubb;Exempelligan (SWE);Mittfältare;35;73 294,89;SEK;2026
Melker Dahlin;Norrby Testklubb;Exempelligan (SWE);Målvakt;18;31 943,10;SEK;2026
Sixten Lindgren;Norrby Testklubb;Exempelligan (SWE);Försvarare;32;122 573,10;SEK;2026
Elias Wikström;Norrby Testklubb;Exempelligan (SWE);Försvarare;21;65 467,71;SEK;2026
Viggo Åkerlund;Norrby Testklubb;Exempelligan (SWE);Målvakt;36;109 276,21;SEK;2026
Nils Hjalmarsson;Norrby Testklubb;Exempelligan (SWE);Målvakt;24;49 288,49;SEK;2026
Elias Åkerlund;Norrby Testklubb;Exempelligan (SWE);Mittfältare;28;51 271,79;SEK;2026
Alvar Sjöberg;Norrby Testklubb;Exempelligan (SWE);Försvarare;34;83 553,47;SEK;2026
Folke Ekholm;Norrby Testklubb;Exempelligan (SWE);Försvarare;35;84 247,95;SEK;2026
Love Norling;Norrby Testklubb;Exempelligan (SWE);Målvakt;20;132 322,62;SEK;2026
Folke Åkerlund;Norrby Testklubb;Exempelligan (SWE);Försvarare;27;61 850,71;SEK;2026
Anton Bergqvist;Norrby Testklubb;Exempelligan (SWE);Försvarare;19;45 757,64;SEK;2026
Melker Ekholm;Norrby Testklubb;Exempelligan (SWE);Anfallare;27;69 585,36;SEK;2026
Hampus Dahlin;Söderhamns SK;Exempelligan (SWE);Målvakt;36;81 663,00;SEK;2026
Melker Lindgren;Söderhamns SK;Exempelligan (SWE);Anfallare;18;72 206,91;SEK;2026
Alvar Hjalmarsson;Söderhamns SK;Exempelligan (SWE);Mittfältare;19;83 951,69;SEK;2026
Nils Sjöberg;Söderhamns SK;Exempelligan (SWE);Mittfältare;36;108 952,60;SEK;2026
Sixten Wikström;Söderhamns SK;Exempelligan (SWE);Mittfältare;20;56 812,26;SEK;2026
Hampus Åkerlund;Söderhamns SK;Exempelligan (SWE);Mittfältare;30;87 352,59;SEK;2026
Hampus Hjalmarsson;Söderhamns SK;Exempelligan (SWE);Försvarare;28;176 967,44;SEK;2026
Alvar Wikström;Söderhamns SK;Exempelligan (SWE);Anfallare;32;42 744,83;SEK;2026
Sixten Palmgren;Söderhamns SK;Exempelligan (SWE);Försvarare;24;68 891,30;SEK;2026
Love Ryding;Söderhamns SK;Exempelligan (SWE);Mittfältare;36;74 683,71;SEK;2026
Elias Palmgren;Söderhamns SK;Exempelligan (SWE);Mittfältare;34;43 073,76;SEK;2026
Hampus Sandell;Söderhamns SK;Exempelligan (SWE);Försvarare;18;41 692,52;SEK;2026
Folke Dahlin;Söderhamns SK;Exempelligan (SWE);Målvakt;27;132 954,33;SEK;2026
Gustav Sjöberg;Söderhamns SK;Exempelligan (SWE);Försvarare;25;57 461,24;SEK;2026
Alvar Dahlin;Söderhamns SK;Exempelligan (SWE);Anfallare;34;64 694,20;SEK;2026
Folke Sjöberg;Söderhamns SK;Exempelligan (SWE);Målvakt;32;104 759,55;SEK;2026
Viggo Ryding;Söderhamns SK;Exempelligan (SWE);Försvarare;18;38 529,16;SEK;2026
Nils Åkerlund;Söderhamns SK;Exempelligan (SWE);Försvarare;28;57 342,34;SEK;2026
Sixten Hjalmarsson;Söderhamns SK;Exempelligan (SWE);Målvakt;34;37 488,94;SEK;2026
Nils Lindgren;Söderhamns SK;Exempelligan (SWE);Målvakt;27;99 958,86;SEK;2026
Folke Bergqvist;Västviks IF;Exempelligan (SWE);Mittfältare;21;101 691,23;SEK;2026
Folke Ryding;Västviks IF;Exempelligan (SWE);Målvakt;20;51 675,83;SEK;2026
Anton Åkerlund;Västviks IF;Exempelligan (SWE);Försvarare;20;39 895,23;SEK;2026
Alvar Norling;Västviks IF;Exempelligan (SWE);Försvarare;29;84 291,14;SEK;2026
Love Lindgren;Västviks IF;Exempelligan (SWE);Försvarare;20;58 902,88;SEK;2026
Melker Wikström;Västviks IF;Exempelligan (SWE);Försvarare;32;38 296,25;SEK;2026
Love Dahlin;Västviks IF;Exempelligan (SWE);Mittfältare;32;31 628,72;SEK;2026
Melker Hjalmarsson;Västviks IF;Exempelligan (SWE);Målvakt;29;77 232,07;SEK;2026
Melker Åkerlund;Västviks IF;Exempelligan (SWE);Anfallare;32;92 516,87;SEK;2026
